"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded","BlocksExpanded","NeighbourVisits"
"Map 49","BlockAStar","5.569024","11.805952","293.0993460417","416.3362717126","13736","1737","219776"
"Map 51","BlockAStar","4.555008","3.589888","284.6804405451","319.7395373315","4558","554","72928"
"Map 52","BlockAStar","4.538112","3.19488","284.8593614101","256.229431924","3765","471","60240"
"Map 53","BlockAStar","4.534016","5.031168","286.9829392433","456.9375627354","6202","778","99232"
"Map 54","BlockAStar","4.679936","5.010176","293.3212862015","294.3178219291","6393","791","102288"
"Map 55","BlockAStar","4.574208","4.492032","284.9320257902","370.5303210521","5729","687","91664"
"Map 56","BlockAStar","4.553984","13.49504","292.6838549376","384.3186214887","16532","2083","264512"
"Map 57","BlockAStar","76.077824","6.1888","288.0707919598","596.8559323134","7231","919","115696"
"Map 58","BlockAStar","4.685056","4.59904","292.6833183765","600.4486918376","5511","711","88176"
"Map 59","BlockAStar","4.615168","6.480896","286.5895323753","346.8073356271","8124","993","129984"
"Map 60","BlockAStar","4.624896","6.4192","291.8491125107","459.8780603241","7325","999","117200"
"Map 61","BlockAStar","4.52992","6.089216","290.5896780491","643.8751266782","7263","957","116208"
"Map 64","BlockAStar","4.514048","6.109952","286.9627503157","315.4794742812","7805","959","124880"
"Map 65","BlockAStar","4.499968","7.34592","291.795751214","460.7437967266","8907","1129","142512"
"Map 66","BlockAStar","4.709888","9.069056","288.0346941948","453.0908155876","10988","1364","175808"
"Map 68","BlockAStar","4.54912","9.539072","288.0506272316","394.2683553124","11902","1442","190432"
"Map 69","BlockAStar","4.61184","8.87296","288.8980499506","421.5751213744","10988","1370","175808"
"Map 70","BlockAStar","4.489984","13.380864","294.0088888407","474.7972793064","16707","2106","267312"
"Map 71","BlockAStar","4.596992","6.996224","290.267113328","598.1326557007","8672","1078","138752"
"Map 72","BlockAStar","4.617984","4.54912","293.0440253019","513.4466341764","5881","730","94096"
"Map 73","BlockAStar","4.726016","7.42784","286.6976504326","393.4041808683","8480","1056","135680"
"Map 74","BlockAStar","4.566784","10.137856","290.2684547901","435.0861046013","11930","1503","190880"
"Map 75","BlockAStar","4.56704","14.395136","294.3112363815","734.3368758433","16466","2136","263456"
"Map 76","BlockAStar","4.21504","10.557952","288.6654801369","309.6886965977","11842","1494","189472"
"Map 77","BlockAStar","4.587008","9.061888","288.8415254354","363.2230997446","11477","1407","183632"
"Map 78","BlockAStar","4.509952","9.680896","289.0130769014","410.3809315843","12116","1476","193856"
"Map 79","BlockAStar","4.612096","5.950976","287.1310325861","379.4081418312","7293","904","116688"
"Map 80","BlockAStar","4.681984","8.642816","288.3409677744","255.1495818695","10639","1284","170224"
"Map 81","BlockAStar","7.155968","4.376832","286.5278247595","399.8622693225","5353","664","85648"
"Map 82","BlockAStar","4.655872","2.267904","283.4638175964","122.9998692088","2649","325","42384"
"Map 83","BlockAStar","4.577024","2.575872","284.2748993635","215.0100424267","3021","392","48336"
"Map 84","BlockAStar","4.56704","8.478976","287.4616769552","446.9385888449","10451","1298","167216"
"Map 85","BlockAStar","4.611072","8.5632","290.0487847328","503.4706062863","10137","1304","162192"
"Map 87","BlockAStar","4.52096","6.349056","286.336289525","534.2701199661","4636","589","74176"
"Map 88","BlockAStar","4.8192","3.771904","284.8007112741","368.5201562861","4020","507","64320"
"Map 89","BlockAStar","6.899968","14.074112","295.3250955343","360.9480398276","17108","2142","273728"
"Map 90","BlockAStar","4.726016","5.868032","288.473457098","550.8594749197","7263","920","116208"
"Map 91","BlockAStar","4.64384","5.238016","288.9705156088","305.743511576","6367","808","101872"
"Map 92","BlockAStar","4.551936","4.642048","285.0753992796","246.3521615002","5898","705","94368"
"Map 93","BlockAStar","4.587008","8.553984","288.0461387634","430.6783901737","10846","1326","173536"
"Map 95","BlockAStar","68.243968","5.502976","285.2286696434","223.065022004","7005","846","112080"
"Map 96","BlockAStar","4.523008","9.371904","288.8372739553","441.2954456349","11248","1391","179968"
"Map 98","BlockAStar","4.797952","3.777024","284.4794294834","260.2497747376","4446","561","71136"
"Map 99","BlockAStar","4.526848","6.259968","289.308660984","509.2936803688","7375","943","118000"
