"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded","BlocksExpanded","NeighbourVisits"
"Map 1","BlockAStar","6.913024","6.39488","284.045404315","239.6400842149","2591","346","41456"
"Map 2","BlockAStar","4.896","4.523008","287.7743012905","524.3928507496","3962","514","63392"
"Map 3","BlockAStar","4.53504","13.564928","292.5087255239","499.8549031766","8584","1094","137344"
"Map 4","BlockAStar","4.585984","12.388096","296.7059439421","420.2814639787","8617","1131","137872"
"Map 5","BlockAStar","4.501248","10.704896","289.3234609365","441.0065022353","11338","1423","181408"
"Map 6","BlockAStar","4.681216","9.067008","288.3521001339","189.2017308214","6736","825","107776"
"Map 7","BlockAStar","4.583936","7.11808","286.8487304449","549.6579020799","8242","1024","131872"
"Map 8","BlockAStar","4.617984","2.98112","285.06389153","264.3595354856","3086","397","49376"
"Map 10","BlockAStar","4.548096","5.857024","287.3326869011","389.4589970541","6451","827","103216"
"Map 12","BlockAStar","4.546048","8.132864","287.2907449007","483.9069207423","9029","1138","144464"
"Map 13","BlockAStar","4.804864","5.041152","287.4431422949","534.5992653817","5672","712","90752"
"Map 14","BlockAStar","4.690944","7.036928","288.6281006336","535.9338857156","7813","993","125008"
"Map 15","BlockAStar","4.557056","8.016896","290.5144143105","551.3622292827","8861","1133","141776"
"Map 17","BlockAStar","4.884992","4.350976","285.415982604","358.2153110248","4758","601","76128"
"Map 18","BlockAStar","4.395008","12.182016","290.8876817226","559.0155191475","14183","1745","226928"
"Map 19","BlockAStar","4.573184","6.016","288.5748255253","377.8774332352","7309","910","116944"
"Map 20","BlockAStar","4.748032","6.193152","287.453420043","313.9228201892","7419","906","118704"
"Map 22","BlockAStar","5.03808","9.868032","289.0487741232","404.2350424632","11817","1450","189072"
"Map 23","BlockAStar","4.696064","4.139008","284.0454046726","217.0202277188","5036","591","80576"
"Map 24","BlockAStar","4.585984","7.377152","286.583224535","445.4078730043","8863","1086","141808"
"Map 25","BlockAStar","4.60288","4.340992","286.1114569902","307.1355718304","4886","612","78176"
"Map 26","BlockAStar","4.548864","5.6","289.6230545044","491.7221281639","6461","805","103376"
"Map 27","BlockAStar","4.876032","4.546048","289.2188696861","461.7897896312","4928","633","78848"
"Map 28","BlockAStar","6.118912","4.035072","286.9153436422","473.0993295699","3917","499","62672"
"Map 30","BlockAStar","6.742016","6.302208","288.7848446369","397.8028922604","6571","821","105136"
"Map 31","BlockAStar","4.786944","5.702912","285.5999718905","462.136189855","6484","779","103744"
"Map 32","BlockAStar","5.817088","6.310912","287.8029968739","339.9851302849","5222","688","83552"
"Map 33","BlockAStar","4.65792","6.746112","294.1903101206","432.2260194966","8026","1016","128416"
"Map 35","BlockAStar","4.55808","7.45088","291.5338950157","520.8170300635","8159","1092","130544"
"Map 36","BlockAStar","4.754944","13.092096","293.4369239807","390.7184897815","15365","1948","245840"
"Map 37","BlockAStar","4.75008","3.817984","285.1086235046","292.5304723694","4662","581","74592"
"Map 38","BlockAStar","4.386816","5.275904","286.2642685175","360.2254806204","6760","801","108160"
"Map 40","BlockAStar","4.843008","7.259136","286.3632423878","268.3539424627","8607","1068","137712"
"Map 42","BlockAStar","4.578816","11.163904","289.3994753361","374.1865602593","13964","1683","223424"
"Map 43","BlockAStar","4.604928","3.58912","284.8704065084","295.1095027878","4448","559","71168"
"Map 44","BlockAStar","4.656128","6.307072","289.1746029854","349.1868586915","7249","908","115984"
"Map 46","BlockAStar","5.776128","7.087872","288.4313955307","291.5167468859","7681","950","122896"
"Map 47","BlockAStar","5.312","6.296064","287.7232637405","547.4170189053","7390","900","118240"
"Map 48","BlockAStar","4.478976","10.018048","291.2545813322","508.9645494422","11445","1492","183120"
