"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 88","BlockAStar","6.498048","4.43008","285.39052879810333","493.10825419877324","5488"
"Map 89","BlockAStar","70.891008","14.695936","295.71688163280487","706.5615429587046","20217"
"Map 90","BlockAStar","72.484096","7.342848","289.3813199996948","872.473119160787","10054"
"Map 91","BlockAStar","214.630144","6.055168","290.08444929122925","637.6045280600499","8720"
"Map 92","BlockAStar","8.045824","3.87712","285.223863363266","312.4642066060723","5788"
"Map 93","BlockAStar","219.049216","10.3872","288.91327822208405","825.8239940147602","14110"
"Map 95","BlockAStar","6.098176","5.506048","285.4176788330078","316.9350154259475","8089"
"Map 96","BlockAStar","241.003008","12.148224","289.37279415130615","571.0791803332417","14246"
"Map 98","BlockAStar","6.247168","4.329984","284.9256925582886","422.30854101959443","6056"
"Map 99","BlockAStar","231.800064","8.075776","289.91803681850433","790.8429550332787","9959"
