"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 0","Dijkstra","14.526976","100.756992","157.23758828639984","765.0000772747674","7993"
"Map 1","Dijkstra","4.129024","49.639168","152.55129659175873","675.0000881415335","8249"
"Map 5","Dijkstra","2.311168","4.248064","147.27921843528748","450.0001014231352","8000"
"Map 6","Dijkstra","3.427072","4.288","163.68123936653137","855.0000627857489","7615"
"Map 7","Dijkstra","2.889984","3.965184","155.48022890090942","855.0000808970233","8231"
"Map 8","Dijkstra","2.618112","4.49792","158.06601536273956","945.0000772747683","8116"
"Map 10","Dijkstra","27.315968","4.59008","151.9655101299286","675.0000893489523","8171"
"Map 11","Dijkstra","4.331008","4.382976","161.33809351921082","495.0000724450966","8148"
"Map 13","Dijkstra","2.654208","4.542976","148.45079135894775","495.0000990082988","7871"
"Map 14","Dijkstra","5.44384","5.524992","148.45079135894775","675.000096593459","8087"
"Map 15","Dijkstra","5.144064","4.507136","152.55129659175873","585.0000893489517","8008"
"Map 16","Dijkstra","2.803968","4.633088","153.722869515419","855.0000833118596","8187"
"Map 18","Dijkstra","2.765056","4.254976","166.61017167568207","495.00006157833207","7914"
"Map 19","Dijkstra","2.846208","4.357888","153.13708305358887","585.000088141534","7797"
"Map 21","Dijkstra","4.125184","4.621824","160.75230705738068","855.0000688228399","8061"
"Map 22","Dijkstra","2.829056","4.132096","161.33809351921082","1125.000063993167","8117"
"Map 27","Dijkstra","3.708928","4.111104","155.48022890090942","675.000082104441","7952"
"Map 29","Dijkstra","4.716032","4.475136","156.6518018245697","1575.000067615423","8157"
"Map 30","Dijkstra","4.473856","4.569088","151.37972366809845","855.0000893489519","8064"
"Map 31","Dijkstra","4.116992","4.732928","154.30865597724915","675.0000845192773","8041"
"Map 32","Dijkstra","4.439808","4.65792","149.0365778207779","765.0000941786229","8040"
"Map 34","Dijkstra","2.731776","4.875008","150.7939372062683","585.0000929712062","8138"
"Map 37","Dijkstra","2.780928","4.251136","144.93607258796692","495.00010625280834","8152"
"Map 38","Dijkstra","2.830848","4.306176","153.13708305358887","945.0000833118605","8201"
"Map 39","Dijkstra","2.812928","4.460032","154.89444243907928","225.00008934895192","8115"
"Map 41","Dijkstra","2.678016","4.230144","168.36753106117249","945.0000519189846","8133"
"Map 42","Dijkstra","2.98496","3.977984","149.0365778207779","585.000096593462","7518"
"Map 43","Dijkstra","29.76896","5.122816","153.722869515419","1125.000079689605","8096"
"Map 45","Dijkstra","3.22304","5.549056","160.99494767189026","945.0000712376781","8049"
