"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 1","BlockAStar","10.82624","9.70496","284.0454043149948","239.64008421493503","2591"
"Map 2","BlockAStar","4.684032","6.012928","287.7743012905121","524.3928507496357","3962"
"Map 3","BlockAStar","4.619776","9.153024","292.50872552394867","499.85490317660623","8584"
"Map 4","BlockAStar","4.612096","9.204992","296.70594394207","420.28146397874883","8617"
"Map 5","BlockAStar","1167.204096","12.141824","289.3234609365463","441.0065022352612","11338"
"Map 6","BlockAStar","4.722944","6.825984","288.3521001338959","189.20173082144794","6736"
"Map 7","BlockAStar","5.068032","7.931136","286.84873044490814","549.6579020798564","8242"
"Map 8","BlockAStar","4.868864","3.597824","285.0638915300369","264.3595354856062","3086"
"Map 10","BlockAStar","5.133056","9.349888","287.33268690109253","389.45899705411455","6451"
"Map 12","BlockAStar","5.023232","8.32896","287.29074490070343","483.9069207423038","9029"
"Map 13","BlockAStar","4.668928","5.300992","287.4431422948837","534.5992653816877","5672"
"Map 14","BlockAStar","5.043968","7.794944","288.6281006336212","535.9338857156123","7813"
"Map 15","BlockAStar","4.683008","7.791104","290.5144143104553","551.36222928268","8861"
"Map 17","BlockAStar","4.851968","4.685056","285.4159826040268","358.21531102477667","4758"
"Map 18","BlockAStar","7.837952","16.560128","290.887681722641","559.015519147451","14183"
"Map 19","BlockAStar","6.333952","11.220224","288.5748255252838","377.8774332351537","7309"
"Map 20","BlockAStar","5.405184","6.595072","287.45342004299164","313.9228201892131","7419"
"Map 22","BlockAStar","5.010944","10.272","289.04877412319183","404.2350424632226","11817"
"Map 23","BlockAStar","4.637952","4.386048","284.0454046726227","217.02022771882235","5036"
"Map 24","BlockAStar","6.496","9.705984","286.5832245349884","445.40787300430776","8863"
"Map 25","BlockAStar","4.668928","4.425984","286.111456990242","307.1355718303842","4886"
"Map 26","BlockAStar","5.143808","6.228992","289.62305450439453","491.7221281638893","6461"
"Map 27","BlockAStar","4.953088","4.30592","289.2188696861267","461.78978963115986","4928"
"Map 28","BlockAStar","4.701952","3.556096","286.9153436422348","473.0993295698762","3917"
"Map 30","BlockAStar","4.62592","5.4528","288.7848446369171","397.80289226040236","6571"
"Map 31","BlockAStar","4.790016","5.92384","285.5999718904495","462.13618985503086","6484"
"Map 32","BlockAStar","4.600064","4.699904","287.8029968738556","339.9851302848845","5222"
"Map 33","BlockAStar","4.832","7.328","294.1903101205826","432.2260194965551","8026"
"Map 35","BlockAStar","4.73984","8.711936","291.53389501571655","520.8170300635134","8159"
"Map 36","BlockAStar","4.717056","12.58496","293.4369239807129","390.7184897815166","15365"
"Map 37","BlockAStar","4.52608","3.828224","285.1086235046387","292.5304723694477","4662"
"Map 38","BlockAStar","4.684032","5.225984","286.2642685174942","360.2254806204486","6760"
"Map 40","BlockAStar","4.546816","7.535872","286.3632423877716","268.35394246267384","8607"
