"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 1","Dijkstra","70.443008","104.470016","288.7005722523","405.0002233724","34761"
"Map 2","Dijkstra","259.742976","34.315008","296.9015827179","675.0002028463","34577"
"Map 3","Dijkstra","74.062848","26.817792","302.1736608744","1035.0001871498","34711"
"Map 4","Dijkstra","233.222912","105.858048","311.5462442636","1215.0001654163","34500"
"Map 5","Dijkstra","77.975808","24.659968","299.830515027","945.0001931869","34229"
"Map 6","Dijkstra","70.676992","31.116032","297.4873691797","945.0001980166","34676"
"Map 7","Dijkstra","190.059008","24.16512","295.1442233324","1125.0002004314","34652"
"Map 8","Dijkstra","74.523904","27.917056","291.6295045614","405.0002173353","34545"
"Map 10","Dijkstra","69.74208","29.927168","299.2447285652","675.0001980166","34471"
"Map 12","Dijkstra","187.33312","23.716864","298.0731556416","675.0002004314","34621"
"Map 13","Dijkstra","16.235008","85.584128","296.3157962561","405.0002076759","34523"
"Map 14","Dijkstra","242.15808","26.691072","299.830515027","945.0001931869","34521"
"Map 15","Dijkstra","235.832064","26.361856","304.5168067217","1395.0001774905","34448"
"Map 17","Dijkstra","269.1648","29.086976","292.2152910233","765.0002112982","34554"
"Map 18","Dijkstra","17.394176","283.046912","305.6883796453","1035.0001799053","34515"
"Map 19","Dijkstra","15.543808","23.79392","302.1736608744","405.0001956018","34388"
"Map 20","Dijkstra","223.04384","24.93184","295.6295045614","405.0002173353","34527"
"Map 22","Dijkstra","17.412864","23.947776","298.6589421034","945.0001956018","34577"
"Map 23","Dijkstra","202.88","28.856832","288.7005722523","405.0002233724","34365"
"Map 24","Dijkstra","103.433216","25.86496","296.9015827179","1035.0001980166","34463"
"Map 25","Dijkstra","104.396032","28.768","292.2152910233","585.000213713","34480"
"Map 26","Dijkstra","15.440128","24.614912","298.0731556416","945.0001968092","34716"
"Map 27","Dijkstra","203.323136","24.185088","301.5878744125","945.0001895647","34526"
"Map 28","Dijkstra","105.572864","26.50496","294.5584368706","585.0002088834","34265"
"Map 30","Dijkstra","17.049088","24.674048","300.4163014889","1125.0001895647","34766"
"Map 31","Dijkstra","217.507072","24.118016","294.5584368706","1035.0002028463","34665"
"Map 32","Dijkstra","105.874944","29.362944","294.5584368706","855.0002052611","34257"
"Map 33","Dijkstra","16.651008","24.115968","307.4457390308","1125.0001750757","34707"
"Map 35","Dijkstra","85.688064","24.91392","308.0315254927","1395.000170246","34546"
"Map 36","Dijkstra","266.743808","30.558976","310.9604578018","1215.0001666237","34687"
"Map 37","Dijkstra","16.194048","23.449088","291.6295045614","675.000213713","34585"
"Map 38","Dijkstra","195.788032","23.398144","295.1442233324","1125.0002004314","34334"
"Map 40","Dijkstra","16.529152","103.385856","293.3868639469","495.0002125056","34691"
"Map 42","Dijkstra","233.033984","24.287232","295.7300097942","765.0002052611","34451"
"Map 43","Dijkstra","261.060096","28.994048","291.6295045614","675.000213713","34480"
"Map 44","Dijkstra","16.23808","23.555072","299.2447285652","855.0001956018","34597"
"Map 46","Dijkstra","115.123968","25.700864","295.7300097942","495.0002076759","34468"
"Map 47","Dijkstra","103.515136","30.072064","297.4873691797","675.0002016389","34512"
"Map 48","Dijkstra","16.071936","23.709952","306.859952569","1395.0001726608","34608"
"Map 49","Dijkstra","205.554944","24.192","303.9310202599","1035.0001835276","34583"
"Map 51","Dijkstra","15.904768","24.582912","291.0437180996","765.000213713","34542"
"Map 52","Dijkstra","77.278976","23.853056","291.0437180996","585.0002161279","34633"
"Map 53","Dijkstra","82.988032","24.409856","295.7300097942","675.0002052611","34419"
"Map 54","Dijkstra","268.802816","28.619008","301.0020879507","765.0001931869","34598"
"Map 55","Dijkstra","20.071936","34.946048","292.8010774851","495.000213713","34642"
"Map 56","Dijkstra","192.332032","23.443968","306.859952569","945.0001786979","34464"
"Map 57","Dijkstra","110.176","25.609216","298.6589421034","945.0001956018","34606"
"Map 58","Dijkstra","107.128064","29.626112","305.6883796453","1125.0001786979","34434"
"Map 59","Dijkstra","16.226048","24.204032","292.8010774851","1125.0002052611","34553"
"Map 60","Dijkstra","188.34816","25.50016","302.5584368706","1215.0002016389","34663"
"Map 61","Dijkstra","102.003968","26.995968","301.5878744125","1215.0001859424","34549"
"Map 64","Dijkstra","198.473216","23.58784","293.9726504087","495.0002112982","34589"
"Map 65","Dijkstra","228.848128","25.99808","309.2030984163","1395.0001678311","34463"
"Map 66","Dijkstra","281.677824","29.737984","298.0731556416","1125.0001943943","34572"
"Map 68","Dijkstra","196.268032","27.049984","296.3157962561","1080.0001980166","34508"
"Map 69","Dijkstra","233.236992","26.063104","300.4163014889","1125.0001895647","34636"
"Map 70","Dijkstra","278.768896","29.188864","306.2741661072","1305.0001750757","34353"
"Map 71","Dijkstra","16.118016","25.022976","301.0020879507","1035.0001895647","34798"
"Map 72","Dijkstra","197.000192","26.505216","300.4163014889","765.0001943943","34463"
"Map 73","Dijkstra","229.835008","26.64192","296.9015827179","1215.0001956018","34696"
