"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 1","BlockAStar","6.80704","7.29984","284.0454043149948","239.64008421493503","346"
"Map 2","BlockAStar","4.904192","7.131136","287.7743012905121","524.3928507496357","514"
"Map 3","BlockAStar","5.006848","9.47584","292.50872552394867","499.85490317660623","1094"
"Map 4","BlockAStar","4.824064","9.118208","296.70594394207","420.28146397874883","1131"
"Map 5","BlockAStar","4.825856","1227.612928","289.3234609365463","441.0065022352612","1423"
"Map 6","BlockAStar","4.749824","7.556864","288.3521001338959","189.20173082144794","825"
"Map 7","BlockAStar","4.989952","8.29184","286.84873044490814","549.6579020798564","1024"
"Map 8","BlockAStar","5.060096","3.979008","285.0638915300369","264.3595354856062","397"
"Map 10","BlockAStar","4.889088","9.548032","287.33268690109253","389.45899705411455","827"
"Map 12","BlockAStar","4.704","9.036032","287.29074490070343","483.9069207423038","1138"
"Map 13","BlockAStar","4.972032","5.818112","287.4431422948837","534.5992653816877","712"
"Map 14","BlockAStar","4.737024","7.552768","288.6281006336212","535.9338857156123","993"
"Map 15","BlockAStar","4.81408","8.177152","290.5144143104553","551.36222928268","1133"
"Map 17","BlockAStar","4.716032","4.742912","285.4159826040268","358.21531102477667","601"
"Map 18","BlockAStar","5.139968","12.667904","290.887681722641","559.015519147451","1745"
"Map 19","BlockAStar","5.060096","6.412032","288.5748255252838","377.8774332351537","910"
"Map 20","BlockAStar","4.70912","8.79488","287.45342004299164","313.9228201892131","906"
"Map 22","BlockAStar","5.008896","10.409216","289.04877412319183","404.2350424632226","1450"
"Map 23","BlockAStar","4.728064","4.5632","284.0454046726227","217.02022771882235","591"
"Map 24","BlockAStar","4.767232","7.40096","286.5832245349884","445.40787300430776","1086"
"Map 25","BlockAStar","4.738816","4.446976","286.111456990242","307.1355718303842","612"
"Map 26","BlockAStar","4.688896","8.107008","289.62305450439453","491.7221281638893","805"
"Map 27","BlockAStar","4.925952","4.248832","289.2188696861267","461.78978963115986","633"
"Map 28","BlockAStar","5.403136","3.715072","286.9153436422348","473.0993295698762","499"
"Map 30","BlockAStar","4.896","5.48096","288.7848446369171","397.80289226040236","821"
"Map 31","BlockAStar","5.819136","5.901056","285.5999718904495","462.13618985503086","779"
"Map 32","BlockAStar","6.779904","4.91904","287.8029968738556","339.9851302848845","688"
"Map 33","BlockAStar","5.17888","7.104768","294.1903101205826","432.2260194965551","1016"
"Map 35","BlockAStar","5.050112","14.47296","291.53389501571655","520.8170300635134","1092"
"Map 36","BlockAStar","4.945152","13.635072","293.4369239807129","390.7184897815166","1948"
"Map 37","BlockAStar","4.898048","8.25088","285.1086235046387","292.5304723694477","581"
"Map 38","BlockAStar","4.75904","5.227008","286.2642685174942","360.2254806204486","801"
"Map 40","BlockAStar","4.790016","7.225088","286.3632423877716","268.35394246267384","1068"
"Map 42","BlockAStar","5.543936","11.956992","289.39947533607483","374.1865602593041","1683"
"Map 43","BlockAStar","4.834048","3.606016","284.87040650844574","295.10950278780285","559"
"Map 44","BlockAStar","4.57984","6.038784","289.1746029853821","349.1868586914956","908"
"Map 46","BlockAStar","4.868864","6.109184","288.4313955307007","291.51674688588605","950"
"Map 47","BlockAStar","5.161984","7.06304","287.72326374053955","547.4170189052774","900"
