"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 1","BlockAStar","9.176064","7.808","284.51143193244934","334.3187166523577","608"
"Map 2","BlockAStar","214.773248","5.60384","288.43991470336914","584.1133341669356","906"
"Map 3","BlockAStar","6.034176","229.044992","293.33574974536896","808.3941420638569","1837"
"Map 4","BlockAStar","6.033152","8.782848","297.28100311756134","650.369996849162","1875"
"Map 5","BlockAStar","206.803968","11.084032","289.93989884853363","875.2486617694885","2279"
"Map 6","BlockAStar","225.160192","6.58304","288.93774485588074","504.4210882986765","1406"
"Map 7","BlockAStar","7.904","9.291008","287.6316570043564","769.4679096088289","1643"
"Map 8","BlockAStar","246.781952","3.49696","285.58434557914734","464.1287507445332","660"
"Map 10","BlockAStar","243.979008","12.25216","288.2546274662018","768.5089791577403","1530"
"Map 12","BlockAStar","200.486144","8.777984","288.0774077177048","783.2384680254507","1860"
"Map 13","BlockAStar","76.235008","5.640192","288.1179498434067","742.0191026764977","1170"
"Map 14","BlockAStar","6.205952","8.228096","289.44094479084015","820.1083705009679","1774"
"Map 15","BlockAStar","107.34208","15.952896","291.60218489170074","946.6952915669572","2071"
"Map 17","BlockAStar","6.309888","5.1968","285.96292448043823","508.8889810036492","1069"
"Map 18","BlockAStar","246.598912","12.890112","292.09984052181244","951.5674826498584","2890"
"Map 19","BlockAStar","72.244992","10.644992","289.3871639966965","821.1596180974802","1601"
"Map 20","BlockAStar","10.130944","13.197056","288.0432325601578","581.9847456064924","1564"
"Map 22","BlockAStar","7.838208","97.502976","289.5458217859268","547.7690627341846","2306"
"Map 23","BlockAStar","6.061056","4.734208","284.5114325284958","311.69886498591825","1022"
"Map 24","BlockAStar","232.839168","14.030848","287.0683101415634","675.2829838243637","1726"
"Map 25","BlockAStar","6.19904","4.621824","286.58682239055634","460.9489000985587","981"
"Map 26","BlockAStar","229.593856","7.152896","290.324844956398","710.5037623612722","1321"
"Map 27","BlockAStar","112.134912","5.846016","289.8434708118439","757.2742080979547","1154"
"Map 28","BlockAStar","6.308096","4.033792","287.37061274051666","590.519146338576","822"
"Map 30","BlockAStar","6.11712","6.46784","289.5462259054184","745.3634904114444","1425"
"Map 31","BlockAStar","80.820992","6.706944","286.3739792108536","564.6732896794138","1346"
"Map 32","BlockAStar","113.372928","11.540992","288.2232301235199","589.993527369993","1153"
"Map 33","BlockAStar","6.028032","216.260864","294.83966839313507","810.7334522454772","1598"
"Map 35","BlockAStar","240.766208","12.374016","292.5154560804367","1177.9797903924534","1791"
"Map 36","BlockAStar","6.547968","232.100096","294.7974503040314","962.3576344221916","3262"
"Map 37","BlockAStar","6.433024","3.943936","285.5843435525894","512.3085398121763","894"
"Map 38","BlockAStar","214.192128","5.743104","286.959765791893","642.1185413040587","1327"
"Map 40","BlockAStar","214.302976","7.780096","286.97352945804596","453.58418766128773","1768"
"Map 42","BlockAStar","59.709952","11.642112","289.9986900091171","539.638949513264","2750"
"Map 43","BlockAStar","59.821824","3.84896","285.3905279636383","459.1784398728568","914"
"Map 44","BlockAStar","6.06592","217.103104","289.63962173461914","648.8392604824506","1438"
"Map 46","BlockAStar","6.191104","68.487168","289.27344739437103","476.3253261106703","1657"
"Map 47","BlockAStar","6.03904","7.162112","288.5022237300873","693.2384728551243","1537"
